,PR,condition
251,12.12314174,delta_ket
252,13.2583087,delta_ket
253,12.13026719,delta_ket
254,13.2067304,delta_ket
255,12.16268814,delta_ket
256,11.82268734,delta_ket
257,12.4397026,delta_ket
258,13.47999474,delta_ket
259,13.91511976,delta_ket
260,13.09080582,delta_ket
261,12.83135392,delta_ket
262,12.34370805,delta_ket
263,12.18123101,delta_ket
264,12.61263521,delta_ket
265,12.39042833,delta_ket
266,12.19434302,delta_ket
267,13.86971328,delta_ket
268,12.45019347,delta_ket
269,11.54709833,delta_ket
270,12.13828734,delta_ket
271,12.41570443,delta_ket
272,12.26717928,delta_ket
273,11.78395663,delta_ket
274,12.75284867,delta_ket
275,13.03080775,delta_ket
276,12.04059086,delta_ket
277,12.87229866,delta_ket
278,11.55172788,delta_ket
279,12.15004682,delta_ket
280,12.38179181,delta_ket
281,11.99263181,delta_ket
282,13.1325503,delta_ket
283,12.0170709,delta_ket
284,12.39711857,delta_ket
285,12.13387118,delta_ket
286,11.59257924,delta_ket
287,12.70623945,delta_ket
288,12.11481002,delta_ket
289,11.18002074,delta_ket
290,11.01599612,delta_ket
291,12.04551893,delta_ket
292,12.33279718,delta_ket
293,11.95771709,delta_ket
294,12.82807981,delta_ket
295,13.52401992,delta_ket
296,11.5452196,delta_ket
297,11.44766513,delta_ket
298,13.30071728,delta_ket
299,12.20336677,delta_ket
300,6.258014237,pla_psi
301,7.282811422,pla_psi
302,6.021874093,pla_psi
303,5.995854873,pla_psi
304,6.017560015,pla_psi
305,6.09477989,pla_psi
306,6.255346211,pla_psi
307,5.972338043,pla_psi
308,6.102672247,pla_psi
309,6.566351054,pla_psi
310,6.032390724,pla_psi
311,6.032932068,pla_psi
312,6.03596802,pla_psi
313,5.990837474,pla_psi
314,6.192456519,pla_psi
315,5.961426794,pla_psi
316,6.138408028,pla_psi
317,5.990664778,pla_psi
318,6.541187726,pla_psi
319,5.852976856,pla_psi
320,6.271710014,pla_psi
321,5.976347761,pla_psi
322,7.094370521,psi
323,7.532769567,psi
324,7.0483011,psi
325,7.460862556,psi
326,7.552404344,psi
327,7.525896799,psi
328,7.315243697,psi
329,7.616158696,psi
330,7.513735109,psi
331,7.59265508,psi
332,7.515322297,psi
333,7.378222602,psi
334,6.812929083,psi
335,7.232285608,psi
336,7.65572499,psi
337,7.240851684,psi
338,7.635188973,psi
339,7.618128815,psi
340,7.357009198,psi
341,7.425571248,psi
342,7.574649285,psi
343,9.476681971,psi
344,8.598895058,delta_psi
345,9.656993402,delta_psi
346,8.322803781,delta_psi
347,8.449340745,delta_psi
348,8.623777129,delta_psi
349,8.614142285,delta_psi
350,8.781236055,delta_psi
351,8.672200979,delta_psi
352,8.677802128,delta_psi
353,8.811921531,delta_psi
354,8.599639747,delta_psi
355,8.503967135,delta_psi
356,8.160016968,delta_psi
357,8.534679387,delta_psi
358,8.567803425,delta_psi
359,8.455689414,delta_psi
360,8.591458533,delta_psi
361,8.304933263,delta_psi
362,9.075843237,delta_psi
363,8.572784689,delta_psi
364,8.672339815,delta_psi
365,8.729096724,delta_psi
366,8.179138651,pla_lsd
367,8.29974917,pla_lsd
368,8.268495983,pla_lsd
369,8.869590328,pla_lsd
370,8.774258286,pla_lsd
371,8.881631478,pla_lsd
372,8.067357286,pla_lsd
373,8.034890055,pla_lsd
374,8.181452942,pla_lsd
375,8.717343394,pla_lsd
376,8.819923128,pla_lsd
377,8.810553228,pla_lsd
378,8.967526305,pla_lsd
379,9.309179874,pla_lsd
380,8.765702794,pla_lsd
381,8.320516904,pla_lsd
382,8.237730488,pla_lsd
383,8.367305074,pla_lsd
384,8.940747566,pla_lsd
385,8.130391771,pla_lsd
386,8.863507725,pla_lsd
387,8.414392629,pla_lsd
388,8.370959385,pla_lsd
389,8.514622445,pla_lsd
390,8.962213528,pla_lsd
391,8.3233456,pla_lsd
392,9.054023089,pla_lsd
393,8.479548737,pla_lsd
394,8.006107319,pla_lsd
395,7.929648411,pla_lsd
396,8.059038266,pla_lsd
397,8.501071667,pla_lsd
398,7.82448906,pla_lsd
399,8.553316885,pla_lsd
400,8.068485948,pla_lsd
401,8.156789191,pla_lsd
402,8.23055692,pla_lsd
403,8.109731344,pla_lsd
404,8.310325548,pla_lsd
405,8.816046486,pla_lsd
406,8.070532475,pla_lsd
407,8.84252249,pla_lsd
408,8.280241131,pla_lsd
409,8.411598782,pla_lsd
410,7.977545843,pla_lsd
411,8.480119854,pla_lsd
412,8.405806117,pla_lsd
413,8.579972892,pla_lsd
414,9.093073332,pla_lsd
415,8.390408284,pla_lsd
416,9.162222343,pla_lsd
417,8.545820168,pla_lsd
418,8.688447532,pla_lsd
419,8.231620485,pla_lsd
420,8.462760672,pla_lsd
